Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
Online Map Interface for Creative and Interactive,"Park, Sihwa; Kim, Seunghun; Lee, Samuel; Yeo, Woon Seung",2010,Zenodo,NIME,art-nature,experiential,for practice-comp,,,
VR-RoBoser : Real-Time Adaptive Sonification of Virtual Environments Based on Avatar Behavior,"le Groux, Sylvain; Manzolli, Jonatas; Verschure, Paul F.",2007,Zenodo,NIME,art-space,experiential,for practice-comp,,,
Soundstone: A 3-D Wireless Music Controller,"Bowen, Adam",2005,Zenodo,NIME,art-movement,experiential,for practice-perfom,,,
The Elbow Piano : Sonification of Piano Playing Movements,"Hadjakos, Aristotelis; Aitenbichler, Erwin; Mühlhäuser, Max",2008,Zenodo,NIME,art-movement,experiential,both-perform,,x,
Music and Musical Sonification for the Rehabilitation of Parkinsonian Dysgraphia: Conceptual Framework,"Véron-Delor, Lauriane; Pinto, Serge; Eusebio, Alexandre; Velay, Jean-Luc; Danna, Jérémy",2017,Springer,CMMR,medicine-movement,theoretical,zero-one(par),theoretical,,
Sonification and music as support to the communication of alcohol-related health risks to young people: Study design and results,"Walus, Bartlomiej P.; Pauletto, Sandra; Mason-Jones, Amanda",2016,Springer,J. Multimodal User Interfaces,medicine-vision,non-specified,,,x,
Algorithmic approach to sonification of classical Chinese poetry,"Huang, Chih-Fang; Lu, Hsiang-Pin; Ren, Jenny",2012,Springer,Multimed. Tools Appl.,art,theoretical,two,,x,
Movement sonification expectancy model: leveraging musical expectancy theory to create movement-altering sonifications,"Newbold, Joseph; Gold, Nicolas E.; Bianchi-Berthouze, Nadia",2020,Springer,J. Multimodal User Interfaces,movement,theoretical,two,,x,
Complex and Dynamic Data Representation by Sonification,"Chemseddine, Maher; Noirhomme-Fraiture, Monique",2008,Springer,HCIS,emotion,theoretical,one(par)-two,,x,
Flood Tide: sonification as musical performance-an audience perspective,"Eacott, John",2012,Springer,AI Soc.,art,experiential,both-perform,,x,
Musical Vision: an interactive bio-inspired sonification tool to convert images into music,"Polo, Antonio; Sevillano, Xavier",2019,Springer,J. Multimodal User Interfaces,art-vision,theoretical-experiential,two-for practice-comp,,x,
The SoundBike: musical sonification strategies to enhance cyclists' spontaneous synchronization to external music,"Maes, Pieter-Jan; Lorenzoni, Valerio; Six, Joren",2019,Springer,J. Multimodal User Interfaces,medicine-movement,theoretical-experiential,zero-one(par)-by practice-comp,,x,
Personalised interactive sonification of musical performance data,"Wolf, KatieAnna E.; Fiebrink, Rebecca",2019,Springer,J. Multimodal User Interfaces,art,experiential,for practice-perfom,,x,
Perceptual Evaluation of Blended Sonification of Mechanical Robot Sounds Produced by Emotionally Expressive Gestures: Augmenting Consequential Sounds to Improve Non-verbal Robot Communication,"Frid, Emma; Bresin, Roberto",2022,Springer,Int. J. Soc. Robot.,emotion,non-specified-theoretical,,,x,
ECG sonification to support the diagnosis and monitoring of myocardial infarction,"Aldana Blanco, Andrea Lorena; Grautoff, Steffen; Hermann, Thomas",2020,Springer,J. Multimodal User Interfaces,medicine,theoretical,zero-one(ver),,x,
Hand rehabilitation with sonification techniques in the subacute stage of stroke,"Raglio, Alfredo; Panigazzi, Monica; Colombo, Roberto; Tramontano, Marco; Iosa, Marco; Mastrogiacomo, Sara; Baiardi, Paola; Molteni, Daniele; Baldissarro, Eleonora; Imbriani, Chiara; Imarisio, Chiara; Eretti, Laura; Hamedani, Mehrnaz; Pistarini, Caterina; Imbriani, Marcello; Mancardi, Gian Luigi; Caltagirone, Carlo",2021,Springer,Sci. Rep.,medicine-movement,theoretical,two,,x,
Aesthetic strategies in sonification,"Grond, Florian; Hermann, Thomas",2012,Springer,AI Soc.,design,non-specified,,theoretical,,
PhysioSonic - Evaluated Movement Sonification as Auditory Feedback in Physiotherapy,"Vogt, Katharina; Pirrò, David; Kobenz, Ingo; Höldrich, Robert; Eckel, Gerhard",2009,Springer,CMMR,medicine-movement,non-specified,,,x,
Sound/tracks: artistic real-time sonification of train journeys,"Knees, Peter; Pohle, Tim; Widmer, Gerhard",2012,Springer,J. Multimodal User Interfaces,art-nature-vision,theoretical,two,,,
